orig,dest,distance
AGO,TUN,4977.891564512675
AGO,TUR,5388.679035366843
AGO,TUV,18459.261538556475
AGO,TWN,11476.501407274904
AGO,TZA,2517.3509072316097
AGO,UGA,2344.6327507702586
AGO,UKR,6340.085439161407
AGO,URY,8088.814280879586
AGO,USA,10496.57867105554
AGO,UZB,7138.13638289856
AGO,VAT,5493.372315716294
AGO,VCT,8506.363810082345
AGO,VEN,9049.7956996817
AGO,VGB,8959.63971910249
AGO,VIR,8989.212450452056
AGO,VNM,10075.395736534001
AGO,VUT,17081.082913811137
AGO,WLF,18865.90606677291
AGO,WSM,19241.431119582976
AGO,YEM,4141.780926259578
AGO,ZAF,2743.3719087075874
AGO,ZMB,1806.4916543875709
AGO,ZWE,2185.3986912210657
AIA,ABW,814.2705307633804
AIA,AFG,14763.527458750319
AIA,AGO,8800.502256898704
AIA,AIA,0.0
AIA,ALB,9437.336008593888
AIA,AND,7462.973765966938
AIA,ARE,13071.416215020352
AIA,ARG,2833.7957638046455
AIA,ARM,12122.291621073133
AIA,ASM,11509.713926978828
AIA,ATG,146.20337225821478
AIA,AUS,14852.191616213502
AIA,AUT,9210.01175294998
AIA,AZE,12712.982423855845
AIA,BDI,10456.77467557371
AIA,BEL,7982.4850961803595
AIA,BEN,7350.108707150445
AIA,BFA,6859.693566675812
AIA,BGD,17069.169611510824
AIA,BGR,9846.563516812916
AIA,BHR,12659.358283588828
AIA,BHS,1607.0481217107713
AIA,BIH,9327.359078532705
AIA,BLR,10561.072350430937
AIA,BLZ,2859.5206507168914
AIA,BMU,712.6790385104774
AIA,BOL,1665.7612196042048
AIA,BRA,2670.8984035229787
AIA,BRB,469.8257928745267
AIA,BRN,19339.176229150944
AIA,BTN,16984.74516414528
AIA,BWA,10589.98882123794
AIA,CAF,9157.93392889809
AIA,CAN,1729.8152546358951
AIA,CHE,8212.368193571318
AIA,CHL,2324.620168691935
AIA,CHN,18941.39713702646
AIA,CIV,6649.888446960233
AIA,CMR,8386.050055286996
AIA,COD,8933.530001881625
AIA,COG,8929.036575407094
AIA,COK,10137.02398261204
AIA,COL,1337.41781120407
AIA,COM,12118.903237421646
AIA,CPV,4405.779617789167
AIA,CRI,2346.9517166189235
AIA,CUB,2153.1972548065914
AIA,CUW,708.7758555733116
AIA,CYM,2037.5207130365645
AIA,CYP,10830.402253162674
AIA,CZE,9046.651106365362
AIA,DEU,9003.712192062912
AIA,DJI,11827.190800871076
AIA,DMA,239.38401253267222
AIA,DNK,9005.033535261875
AIA,DOM,761.3245070757683
AIA,DZA,7514.734297447228
AIA,ECU,1827.7621274469084
AIA,EGY,10540.86910100241
AIA,ERI,11347.011508996995
AIA,ESH,5589.858524483539
AIA,ESP,6847.3880774039235
AIA,EST,10417.077686781817
AIA,ETH,11352.925018493619
AIA,FIN,10459.153843961274
AIA,FJI,12556.561422464907
AIA,FLK,3683.5828232027593
AIA,FRA,7711.317563480183
AIA,FRO,7178.439985319353
AIA,GAB,8208.040371993902
AIA,GBR,7521.528138979696
AIA,GEO,12179.332650283446
AIA,GHA,7070.442395688232
AIA,GIB,6582.163496895965
AIA,GIN,5537.585457704356
AIA,GLP,187.1609216836311
AIA,GMB,5171.686332149703
AIA,GNB,5301.964406758576
AIA,GNQ,8085.62659685473
AIA,GRC,9810.610285208633
AIA,GRD,349.0558092669501
AIA,GRL,2947.9216542126874
AIA,GTM,3055.597279320818
AIA,GUF,1424.3837633798794
AIA,GUM,16910.65199717873
AIA,GUY,825.8613990141395
AIA,HKG,19657.833697813025
AIA,HND,2686.8979845578006
AIA,HRV,9111.142404216374
AIA,HTI,1031.9515856689516
AIA,HUN,9482.353400156533
AIA,IDN,18529.58119409446
AIA,IMN,7139.30922616556
AIA,IND,15618.825267862536
AIA,IRL,6924.988025134874
AIA,IRN,12824.753544771787
AIA,IRQ,12027.280590894385
AIA,ISL,5708.6356208455945
AIA,ISR,10997.097815215353
AIA,ITA,8645.869054461538
AIA,JAM,1527.7977187315043
AIA,JOR,11079.495613234663
AIA,JPN,17239.399640224678
AIA,KAZ,15171.213661325753
AIA,KEN,11243.521020113747
AIA,KGZ,15414.824604468482
AIA,KHM,18659.2924313492
AIA,KIR,13639.816339903125
AIA,KNA,59.54707025113332
AIA,KOR,18437.62190974043
AIA,KWT,12389.620567592176
AIA,LAO,18425.490272135434
AIA,LBN,11048.980336624882
AIA,LBR,5889.728327482245
AIA,LBY,8574.520023121999
AIA,LCA,317.87679417489096
AIA,LIE,8441.891894873643
AIA,LKA,15911.211529005413
AIA,LSO,10905.620599123009
AIA,LTU,10337.002014703408
AIA,LUX,8139.635863889417
AIA,LVA,10274.647959965
AIA,MAC,19598.576418909866
AIA,MAR,6383.112645957336
AIA,MCO,8132.639030691926
AIA,MDA,10536.528034887328
AIA,MDG,12728.879210001478
AIA,MDV,15225.548239913836
AIA,MEX,4013.3219124190277
AIA,MHL,13900.058132577631
AIA,MKD,9626.600895336069
AIA,MLI,6140.318659649234
AIA,MLT,8763.04360077885
AIA,MMR,17705.540442695892
AIA,MNE,9397.936509980946
AIA,MNG,18387.850817499446
AIA,MNP,16809.249473675012
AIA,MOZ,11335.15864510148
AIA,MRT,5236.47162936066
AIA,MSR,119.11658799038689
AIA,MTQ,289.85329235523733
AIA,MUS,13805.937781831826
AIA,MWI,11144.639698728703
AIA,MYS,18249.021127897016
AIA,MYT,12352.583829693323
AIA,NAM,9588.860296628623
AIA,NCL,13674.028399725794
AIA,NER,7259.05969945549
AIA,NGA,7885.424402125172
AIA,NIC,2582.324208899949
AIA,NIU,11286.873594600922
AIA,NLD,8084.7660480092445
AIA,NOR,8946.500628521806
AIA,NPL,16509.73662645556
AIA,NRU,14270.398404622656
AIA,NZL,12020.071839281245
AIA,OMN,13538.526488791733
AIA,PAK,15184.045304258403
AIA,PAN,1854.7814441159271
AIA,PER,1885.217464339347
AIA,PHL,19531.24511023204
AIA,PLW,17953.032328693287
AIA,PNG,16142.037284471737
AIA,POL,9813.058443465357
AIA,PRI,339.21379624565037
AIA,PRK,18479.935650184954
AIA,PRT,6217.740674579474
AIA,PRY,2418.1843207115767
AIA,PSE,10996.110269754412
AIA,PYF,9150.5772211252
AIA,QAT,12759.547475514608
AIA,REU,13606.57998271275
AIA,ROU,10183.91831574654
AIA,RUS,11684.070526689078
AIA,RWA,10510.443622795396
AIA,SAU,12222.444988926622
AIA,SDN,10634.798820551887
AIA,SEN,5080.734547247317
AIA,SGP,18437.76483778977
